id,type,initial_frame,detection_duration,lenght
191,truck,3283,11,381.936752319336
192,car,3317,48,151.93946838378906
193,car,3324,45,129.9774169921875
194,truck,3346,5,231.448486328125
195,car,3418,17,174.09149169921875
196,motorcycle,3448,1,63.5382080078125
197,car,3452,33,169.2808837890625
198,motorcycle,3452,1,60.43133544921875
199,car,3454,2,118.35546875
200,motorcycle,3456,1,55.625732421875
201,truck,3466,38,398.56201171875
202,truck,3490,20,206.16094970703125
203,car,3502,58,123.56854248046876
204,car,3511,30,116.5401611328125
205,truck,3517,62,384.8521423339844
206,truck,3574,21,236.249267578125
207,car,3576,22,152.2164306640625
208,car,3612,44,127.96240234375
209,car,3629,1,179.103271484375
210,car,3640,22,145.96923828125
211,train,3673,36,412.7322692871094
212,car,3673,1,113.835693359375
213,car,3737,59,133.6630859375
214,car,3751,34,158.7564697265625
215,car,3768,34,137.24853515625
216,car,3781,40,166.37823486328125
217,truck,3787,1,224.86199951171875
218,car,3807,2,173.05908203125
219,car,3818,53,137.9296875
220,car,3839,58,140.0023193359375
221,car,3865,48,118.460205078125
222,car,3883,45,178.534423828125
223,car,3884,6,139.15234375
224,car,3891,2,132.48760986328125
225,bus,3939,43,320.46112060546875
226,truck,3956,35,187.5632476806641
227,car,3965,18,152.7791748046875
228,truck,3985,53,326.365234375
229,car,4006,22,159.16815185546875
230,truck,4032,1,277.65382385253906
231,train,4032,1,526.4246826171875
232,truck,4050,10,257.3348388671875
233,truck,4055,51,225.57330322265625
234,car,4077,1,160.2376708984375
235,car,4099,29,134.559326171875
236,truck,4110,1,174.45458984375
237,car,4113,50,159.182861328125
238,car,4120,37,153.07421875
239,truck,4121,23,162.294921875
240,car,4145,8,118.1539306640625
241,car,4167,2,127.38671875
242,car,4175,1,79.66796875
243,car,4183,1,74.1669921875
244,car,4213,46,141.346923828125
245,car,4220,34,114.151611328125
246,truck,4237,16,316.531982421875
247,car,4267,49,112.69873046875
248,car,4284,53,136.260986328125
249,car,4295,54,125.0625
250,car,4332,53,145.839599609375
251,car,4400,47,144.0540771484375
252,car,4413,36,174.76690673828125
253,car,4414,8,126.4112548828125
254,truck,4427,34,150.4150390625
255,car,4447,1,90.309326171875
256,car,4469,4,178.9605712890625
257,car,4471,27,120.5875244140625
258,car,4504,39,119.130859375
259,truck,4526,47,358.43865966796875
260,car,4556,14,123.360107421875
261,car,4557,26,167.17987060546875
262,truck,4563,5,257.4744873046875
263,motorcycle,4575,1,66.3206787109375
264,car,4580,37,117.74969482421876
265,car,4625,52,143.260986328125
266,car,4645,58,132.001953125
267,train,4709,4,233.04608154296875
268,car,4718,5,120.98779296875
269,car,4781,50,155.14208984375
